Palavrachave,similarToEquivalente
Tecnologia,technology
Seguranca,security
Vendas/exportação/loja,sales
Suprimentos/suplly,purchases
Processos,project_or_processes
Producao/BancodeTalentos,operations
Almoxarifado/logistica/PPCPM,logistics
Laboratorio/Relacionamento/ConsultoriaCientifica/PesquisaeDesenvolvimento,innovation_or_product
GestaoPessoas,human_resources
FinanceiroContaspagarereceber/AdminsitraçãoDiretoria,financial_management
Manutencao,engineering_or_maintenance_or_technical_services
Marketing,communication_or_design_or_marketing
Qualidade,audit_or_quality
CentraldeRelacionamento,attendance
Financeiro,accounting_or_controlling
